Region 82 Avg IOU: 0.014005, Class: 0.404877, Obj: 0.306050, No Obj: 0.420801, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.353866, Class: 0.806843, Obj: 0.077038, No Obj: 0.417313, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.458433, Class: 0.379525, Obj: 0.676878, No Obj: 0.420611, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.118085, Class: 0.382511, Obj: 0.703227, No Obj: 0.419880, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.011565, Class: 0.296840, Obj: 0.080255, No Obj: 0.420149, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.790147, Class: 0.840316, Obj: 0.608332, No Obj: 0.419418, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 82 Avg IOU: 0.054461, Class: 0.631609, Obj: 0.932020, No Obj: 0.417012, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.177395, Class: 0.472973, Obj: 0.344944, No Obj: 0.419738, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.079265, Class: 0.495553, Obj: 0.617959, No Obj: 0.420484, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.268088, Class: 0.851878, Obj: 0.256665, No Obj: 0.416016, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.044991, Class: 0.916855, Obj: 0.263805, No Obj: 0.416686, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.145982, Class: 0.521261, Obj: 0.814612, No Obj: 0.420069, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.269005, Class: 0.952798, Obj: 0.617524, No Obj: 0.420954, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.132913, Class: 0.782716, Obj: 0.246536, No Obj: 0.417400, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.304901, Class: 0.444029, Obj: 0.708440, No Obj: 0.419084, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.116831, Class: 0.604896, Obj: 0.467327, No Obj: 0.419942, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.168769, Class: 0.827126, Obj: 0.559383, No Obj: 0.418281, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.344111, Class: 0.969260, Obj: 0.571046, No Obj: 0.423058, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.103842, Class: 0.121164, Obj: 0.069155, No Obj: 0.420838, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.067432, Class: 0.377663, Obj: 0.684541, No Obj: 0.419360, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.548643, Class: 0.122025, Obj: 0.603527, No Obj: 0.419941, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.150985, Class: 0.402454, Obj: 0.613545, No Obj: 0.420541, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.169201, Class: 0.605143, Obj: 0.315620, No Obj: 0.495666, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: 0.019278, Class: 0.495939, Obj: 0.425515, No Obj: 0.422212, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.319329, Class: 0.731724, Obj: 0.729530, No Obj: 0.417562, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.294341, Class: 0.577221, Obj: 0.550131, No Obj: 0.419313, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.348632, Class: 0.768877, Obj: 0.718266, No Obj: 0.419116, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.092493, Class: 0.447469, Obj: 0.629014, No Obj: 0.416512, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.236521, Class: 0.661944, Obj: 0.198690, No Obj: 0.418699, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.148854, Class: 0.205303, Obj: 0.399926, No Obj: 0.418607, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.073658, Class: 0.446737, Obj: 0.234343, No Obj: 0.422700, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.090370, Class: 0.821794, Obj: 0.782225, No Obj: 0.415174, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.318524, Class: 0.794237, Obj: 0.400679, No Obj: 0.416355, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.415049, Class: 0.652231, Obj: 0.543095, No Obj: 0.419247, .5R: 0.500000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.344940, Class: 0.346335, Obj: 0.846521, No Obj: 0.419228, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.389107, Class: 0.498902, Obj: 0.260805, No Obj: 0.496950, .5R: 0.500000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.186795, Class: 0.657293, Obj: 0.735154, No Obj: 0.418544, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.281666, Class: 0.528657, Obj: 0.292198, No Obj: 0.417670, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.368808, Class: 0.837772, Obj: 0.383797, No Obj: 0.420689, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.012582, Class: 0.524931, Obj: 0.829052, No Obj: 0.420784, .5R: 0.000000, .75R: 0.000000,  count: 1
