1: 478.665955, 478.665955 avg, 0.000000 rate, 3.568578 seconds, 16 images
2: 478.685272, 478.667877 avg, 0.000000 rate, 2.309379 seconds, 32 images
3: 478.981140, 478.699219 avg, 0.000000 rate, 2.310373 seconds, 48 images
4: 478.783417, 478.707642 avg, 0.000000 rate, 2.309203 seconds, 64 images
5: 478.574554, 478.694336 avg, 0.000000 rate, 2.391356 seconds, 80 images
6: 478.841156, 478.709015 avg, 0.000000 rate, 2.464342 seconds, 96 images
7: 479.154663, 478.753571 avg, 0.000000 rate, 2.393247 seconds, 112 images
8: 478.338593, 478.712067 avg, 0.000000 rate, 2.362241 seconds, 128 images
9: 478.651794, 478.706055 avg, 0.000000 rate, 2.387942 seconds, 144 images
10: 478.971405, 478.732605 avg, 0.000000 rate, 2.364422 seconds, 160 images
11: 479.137299, 478.773071 avg, 0.000000 rate, 2.321800 seconds, 176 images
12: 478.866028, 478.782379 avg, 0.000000 rate, 2.410110 seconds, 192 images
13: 478.935028, 478.797638 avg, 0.000000 rate, 2.410734 seconds, 208 images
14: 478.875671, 478.805450 avg, 0.000000 rate, 2.479530 seconds, 224 images
15: 478.989197, 478.823822 avg, 0.000000 rate, 2.389627 seconds, 240 images
16: 478.671600, 478.808594 avg, 0.000000 rate, 2.346005 seconds, 256 images
17: 478.512085, 478.778931 avg, 0.000000 rate, 2.370532 seconds, 272 images
18: 479.261292, 478.827179 avg, 0.000000 rate, 2.315304 seconds, 288 images
19: 479.047699, 478.849243 avg, 0.000000 rate, 2.295691 seconds, 304 images
20: 478.744202, 478.838745 avg, 0.000000 rate, 2.289820 seconds, 320 images
21: 226.774338, 453.632294 avg, 0.000000 rate, 1.264001 seconds, 336 images
22: 226.827805, 430.951843 avg, 0.000000 rate, 1.308450 seconds, 352 images
23: 226.973328, 410.553986 avg, 0.000000 rate, 1.298919 seconds, 368 images
24: 227.076401, 392.206238 avg, 0.000000 rate, 1.298476 seconds, 384 images
25: 227.160400, 375.701660 avg, 0.000000 rate, 1.336169 seconds, 400 images
26: 226.795303, 360.811035 avg, 0.000000 rate, 1.305326 seconds, 416 images
27: 226.803329, 347.410278 avg, 0.000000 rate, 1.314073 seconds, 432 images
28: 226.701355, 335.339386 avg, 0.000000 rate, 1.309521 seconds, 448 images
29: 226.779495, 324.483398 avg, 0.000000 rate, 1.314244 seconds, 464 images
30: 227.304932, 314.765564 avg, 0.000000 rate, 1.301159 seconds, 480 images
31: 478.938232, 331.182831 avg, 0.000000 rate, 2.222441 seconds, 496 images
32: 478.817993, 345.946350 avg, 0.000000 rate, 2.304256 seconds, 512 images
33: 479.221893, 359.273895 avg, 0.000000 rate, 2.309137 seconds, 528 images
34: 479.070862, 371.253601 avg, 0.000000 rate, 2.313406 seconds, 544 images
35: 478.682068, 381.996460 avg, 0.000000 rate, 2.314761 seconds, 560 images
36: 478.816132, 391.678436 avg, 0.000000 rate, 2.304545 seconds, 576 images
37: 478.788605, 400.389465 avg, 0.000000 rate, 2.302334 seconds, 592 images
38: 478.726959, 408.223206 avg, 0.000000 rate, 2.323280 seconds, 608 images
39: 478.659790, 415.266876 avg, 0.000000 rate, 2.312460 seconds, 624 images
40: 478.621704, 421.602356 avg, 0.000000 rate, 2.307198 seconds, 640 images
41: 420.816681, 421.523804 avg, 0.000000 rate, 2.062728 seconds, 656 images
42: 421.122253, 421.483643 avg, 0.000000 rate, 2.132368 seconds, 672 images
43: 420.866608, 421.421936 avg, 0.000000 rate, 2.139542 seconds, 688 images
44: 420.845337, 421.364288 avg, 0.000000 rate, 2.131481 seconds, 704 images
45: 420.924591, 421.320312 avg, 0.000000 rate, 2.125257 seconds, 720 images
46: 421.324738, 421.320740 avg, 0.000000 rate, 2.145324 seconds, 736 images
47: 420.911285, 421.279785 avg, 0.000000 rate, 2.132166 seconds, 752 images
48: 421.005859, 421.252380 avg, 0.000000 rate, 2.140908 seconds, 768 images
49: 420.995239, 421.226654 avg, 0.000000 rate, 2.139341 seconds, 784 images
50: 420.942047, 421.198181 avg, 0.000000 rate, 2.143538 seconds, 800 images
51: 269.797974, 406.058167 avg, 0.000000 rate, 1.443779 seconds, 816 images
52: 269.759003, 392.428253 avg, 0.000000 rate, 1.474617 seconds, 832 images
53: 269.912964, 380.176727 avg, 0.000000 rate, 1.491193 seconds, 848 images
54: 269.685730, 369.127625 avg, 0.000000 rate, 1.486936 seconds, 864 images
55: 269.978363, 359.212708 avg, 0.000000 rate, 1.486663 seconds, 880 images
56: 269.684479, 350.259888 avg, 0.000000 rate, 1.487170 seconds, 896 images
57: 269.697083, 342.203613 avg, 0.000000 rate, 1.497338 seconds, 912 images
58: 269.585480, 334.941803 avg, 0.000000 rate, 1.496731 seconds, 928 images
59: 269.754181, 328.423035 avg, 0.000000 rate, 1.493031 seconds, 944 images
60: 269.521545, 322.532898 avg, 0.000000 rate, 1.485399 seconds, 960 images
61: 539.973206, 344.276917 avg, 0.000000 rate, 2.637269 seconds, 976 images
62: 540.218872, 363.871124 avg, 0.000000 rate, 2.728114 seconds, 992 images
63: 539.724548, 381.456482 avg, 0.000000 rate, 2.730679 seconds, 1008 images
64: 540.061340, 397.316956 avg, 0.000000 rate, 2.737780 seconds, 1024 images
65: 540.155212, 411.600769 avg, 0.000000 rate, 2.728304 seconds, 1040 images
66: 540.202759, 424.460968 avg, 0.000000 rate, 2.736951 seconds, 1056 images
67: 540.348450, 436.049713 avg, 0.000000 rate, 2.737126 seconds, 1072 images
68: 540.060181, 446.450745 avg, 0.000000 rate, 2.713747 seconds, 1088 images
69: 539.714966, 455.777161 avg, 0.000000 rate, 2.732446 seconds, 1104 images
70: 539.659241, 464.165375 avg, 0.000000 rate, 2.732957 seconds, 1120 images
71: 604.882202, 478.237061 avg, 0.000000 rate, 2.847420 seconds, 1136 images
72: 604.782104, 490.891571 avg, 0.000000 rate, 2.954317 seconds, 1152 images
73: 604.757996, 502.278198 avg, 0.000000 rate, 2.940078 seconds, 1168 images
74: 604.665283, 512.516907 avg, 0.000000 rate, 2.967829 seconds, 1184 images
75: 604.859192, 521.751160 avg, 0.000000 rate, 2.949428 seconds, 1200 images
76: 604.480103, 530.024048 avg, 0.000000 rate, 2.993314 seconds, 1216 images
77: 604.497437, 537.471375 avg, 0.000000 rate, 2.953607 seconds, 1232 images
78: 604.487244, 544.172974 avg, 0.000000 rate, 2.946693 seconds, 1248 images
79: 604.165039, 550.172180 avg, 0.000000 rate, 2.955013 seconds, 1264 images
80: 604.209045, 555.575867 avg, 0.000000 rate, 2.951704 seconds, 1280 images
81: 226.273483, 522.645630 avg, 0.000000 rate, 1.247699 seconds, 1296 images
82: 226.266479, 493.007721 avg, 0.000000 rate, 1.301418 seconds, 1312 images
83: 226.139008, 466.320862 avg, 0.000000 rate, 1.309891 seconds, 1328 images
84: 226.053009, 442.294067 avg, 0.000000 rate, 1.295543 seconds, 1344 images
85: 226.152618, 420.679932 avg, 0.000000 rate, 1.297806 seconds, 1360 images
86: 225.833572, 401.195282 avg, 0.000000 rate, 1.305441 seconds, 1376 images
87: 225.790985, 383.654846 avg, 0.000000 rate, 1.299664 seconds, 1392 images
88: 225.750366, 367.864410 avg, 0.000000 rate, 1.298223 seconds, 1408 images
89: 225.985107, 353.676483 avg, 0.000000 rate, 1.289965 seconds, 1424 images
90: 225.677811, 340.876617 avg, 0.000000 rate, 1.294129 seconds, 1440 images
91: 537.673401, 360.556305 avg, 0.000000 rate, 2.635370 seconds, 1456 images
92: 537.672729, 378.267944 avg, 0.000000 rate, 2.729291 seconds, 1472 images
93: 537.511963, 394.192352 avg, 0.000000 rate, 2.738372 seconds, 1488 images
94: 537.260376, 408.499146 avg, 0.000000 rate, 2.728627 seconds, 1504 images
95: 537.407532, 421.389984 avg, 0.000000 rate, 2.745326 seconds, 1520 images
96: 537.366333, 432.987610 avg, 0.000000 rate, 2.733476 seconds, 1536 images
97: 536.865723, 443.375427 avg, 0.000000 rate, 2.729979 seconds, 1552 images
98: 536.788513, 452.716736 avg, 0.000000 rate, 2.732526 seconds, 1568 images
99: 536.246582, 461.069733 avg, 0.000000 rate, 2.737768 seconds, 1584 images
100: 536.158691, 468.578613 avg, 0.000000 rate, 2.742719 seconds, 1600 images
101: 600.966980, 481.817444 avg, 0.000000 rate, 2.830824 seconds, 1616 images
102: 600.598633, 493.695557 avg, 0.000000 rate, 2.945727 seconds, 1632 images
103: 600.337769, 504.359772 avg, 0.000000 rate, 2.935439 seconds, 1648 images
104: 600.006836, 513.924500 avg, 0.000000 rate, 3.012642 seconds, 1664 images
105: 599.856506, 522.517700 avg, 0.000000 rate, 2.964757 seconds, 1680 images
106: 599.155945, 530.181519 avg, 0.000000 rate, 2.959597 seconds, 1696 images
107: 599.371887, 537.100586 avg, 0.000000 rate, 2.956630 seconds, 1712 images
108: 598.623779, 543.252930 avg, 0.000000 rate, 2.945959 seconds, 1728 images
109: 598.153076, 548.742920 avg, 0.000000 rate, 2.943298 seconds, 1744 images
110: 597.687866, 553.637390 avg, 0.000000 rate, 2.962210 seconds, 1760 images
111: 185.287186, 516.802368 avg, 0.000000 rate, 1.070338 seconds, 1776 images
112: 184.873901, 483.609528 avg, 0.000000 rate, 1.107726 seconds, 1792 images
113: 184.693359, 453.717896 avg, 0.000000 rate, 1.114077 seconds, 1808 images
114: 184.701752, 426.816284 avg, 0.000000 rate, 1.110404 seconds, 1824 images
115: 184.489853, 402.583649 avg, 0.000000 rate, 1.111584 seconds, 1840 images
116: 184.341034, 380.759399 avg, 0.000000 rate, 1.109910 seconds, 1856 images
117: 184.088516, 361.092316 avg, 0.000000 rate, 1.107676 seconds, 1872 images
118: 184.106842, 343.393768 avg, 0.000000 rate, 1.125278 seconds, 1888 images
119: 183.846481, 327.439026 avg, 0.000000 rate, 1.102293 seconds, 1904 images
120: 183.754318, 313.070557 avg, 0.000000 rate, 1.126261 seconds, 1920 images
121: 593.594177, 341.122925 avg, 0.000000 rate, 2.846795 seconds, 1936 images
122: 592.785400, 366.289185 avg, 0.000000 rate, 2.953095 seconds, 1952 images
123: 592.516785, 388.911957 avg, 0.000000 rate, 2.962299 seconds, 1968 images
124: 592.058594, 409.226624 avg, 0.000000 rate, 2.945927 seconds, 1984 images
125: 591.210754, 427.425049 avg, 0.000000 rate, 2.947566 seconds, 2000 images
126: 591.194458, 443.802002 avg, 0.000000 rate, 2.957698 seconds, 2016 images
127: 590.138611, 458.435669 avg, 0.000000 rate, 2.954416 seconds, 2032 images
128: 589.836548, 471.575745 avg, 0.000000 rate, 2.942596 seconds, 2048 images
129: 588.855042, 483.303680 avg, 0.000000 rate, 2.949708 seconds, 2064 images
130: 587.933960, 493.766724 avg, 0.000000 rate, 2.948800 seconds, 2080 images
131: 464.364990, 490.826538 avg, 0.000000 rate, 2.219551 seconds, 2096 images
132: 463.901672, 488.134064 avg, 0.000000 rate, 2.303745 seconds, 2112 images
133: 463.394409, 485.660095 avg, 0.000000 rate, 2.319330 seconds, 2128 images
134: 462.571838, 483.351257 avg, 0.000000 rate, 2.305371 seconds, 2144 images
135: 461.794830, 481.195618 avg, 0.000000 rate, 2.309524 seconds, 2160 images
136: 461.041321, 479.180176 avg, 0.000000 rate, 2.312349 seconds, 2176 images
137: 460.368591, 477.299011 avg, 0.000000 rate, 2.302571 seconds, 2192 images
138: 459.620056, 475.531128 avg, 0.000000 rate, 2.305304 seconds, 2208 images
139: 459.295349, 473.907562 avg, 0.000000 rate, 2.317689 seconds, 2224 images
140: 457.991272, 472.315918 avg, 0.000000 rate, 2.371466 seconds, 2240 images
141: 350.533081, 460.137634 avg, 0.000000 rate, 1.811130 seconds, 2256 images
142: 349.829315, 449.106812 avg, 0.000000 rate, 1.876024 seconds, 2272 images
143: 349.196045, 439.115723 avg, 0.000000 rate, 1.887314 seconds, 2288 images
144: 349.010193, 430.105164 avg, 0.000000 rate, 1.891501 seconds, 2304 images
145: 348.185638, 421.913208 avg, 0.000000 rate, 1.876020 seconds, 2320 images
146: 347.360046, 414.457886 avg, 0.000000 rate, 1.884093 seconds, 2336 images
147: 346.681396, 407.680237 avg, 0.000000 rate, 1.882126 seconds, 2352 images
148: 345.954376, 401.507660 avg, 0.000000 rate, 1.891304 seconds, 2368 images
149: 345.309448, 395.887848 avg, 0.000000 rate, 1.894496 seconds, 2384 images
150: 344.877075, 390.786774 avg, 0.000001 rate, 1.885188 seconds, 2400 images
151: 176.177246, 369.325806 avg, 0.000001 rate, 1.070983 seconds, 2416 images
152: 175.660660, 349.959290 avg, 0.000001 rate, 1.107176 seconds, 2432 images
153: 175.802673, 332.543640 avg, 0.000001 rate, 1.130788 seconds, 2448 images
154: 175.173859, 316.806671 avg, 0.000001 rate, 1.124024 seconds, 2464 images
155: 174.908936, 302.616882 avg, 0.000001 rate, 1.107598 seconds, 2480 images
156: 174.538361, 289.809021 avg, 0.000001 rate, 1.131736 seconds, 2496 images
157: 174.164261, 278.244537 avg, 0.000001 rate, 1.100048 seconds, 2512 images
158: 174.390503, 267.859131 avg, 0.000001 rate, 1.120338 seconds, 2528 images
159: 173.686157, 258.441833 avg, 0.000001 rate, 1.114173 seconds, 2544 images
160: 173.383148, 249.935959 avg, 0.000001 rate, 1.104624 seconds, 2560 images
161: 249.042755, 249.846634 avg, 0.000001 rate, 1.442467 seconds, 2576 images
162: 248.454239, 249.707397 avg, 0.000001 rate, 1.485156 seconds, 2592 images
163: 248.365387, 249.573196 avg, 0.000001 rate, 1.490654 seconds, 2608 images
164: 247.418091, 249.357681 avg, 0.000001 rate, 1.481886 seconds, 2624 images
165: 247.244049, 249.146317 avg, 0.000001 rate, 1.497643 seconds, 2640 images
166: 246.812042, 248.912888 avg, 0.000001 rate, 1.495126 seconds, 2656 images
